Id,Name,DisplayName,ItemTypeId,ItemSubTypeId,ItemCode,ItemDescription,Abbreviation,Type
19D2AF40-329D-4E7F-B2C8-B052A3E7A95F,'ACECLOFENAC/PARACETAMOL-RILIF PLUS TABS LEWA 100MG/500MG','ACECLOFENAC/PARACETAMOL-RILIF PLUS TABS LEWA 100MG/500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,7416,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
DAE9D610-53B3-416D-ACE9-FB54C94B2261,'ACECLOFENAC/PARACETAMOL-ZULU TABS LEWA 100MG/500MG','ACECLOFENAC/PARACETAMOL-ZULU TABS LEWA 100MG/500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,3391,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
97029DDA-6F42-4D07-AC7B-6AB48F951C5B,'ACETAMINOPHEN W/CODEINE-TABS BETAPYN LEWA TABLET','ACETAMINOPHEN W/CODEINE-TABS BETAPYN LEWA TABLET',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1544,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
107D6325-B973-4983-91F0-D66BD221803A,'ACETAMINOPHEN-ADOL PARACETAMOL SUPPOSITORIES 125MG','ACETAMINOPHEN-ADOL PARACETAMOL SUPPOSITORIES 125MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,4,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
EC1583B6-24A8-4EE5-A084-AC91F4F6C1B2,'ACETAMINOPHEN-ADOL PARACETAMOL SUPPOSITORIES 250MG','ACETAMINOPHEN-ADOL PARACETAMOL SUPPOSITORIES 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,5,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
CA181A21-FC3E-48BD-B32C-5623B02BE475,'ACETAMINOPHEN-INJ PARACETAMOL LEWA 150MG/ML','ACETAMINOPHEN-INJ PARACETAMOL LEWA 150MG/ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1508,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
98FC0895-5B24-4C80-8A73-245B2D91E46F,'ACETAMINOPHEN-PANADOL EXTRA DONAR 500MG','ACETAMINOPHEN-PANADOL EXTRA DONAR 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,2100,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
C4D7FF0D-8A00-4C0D-96B5-DE758640D45F,'ACETAMINOPHEN-PARACETAMOL EFFERVESCENT  TABS DONOR 500MG','ACETAMINOPHEN-PARACETAMOL EFFERVESCENT  TABS DONOR 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,2267,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
55BD4C0D-EE1A-402E-B5C6-9CB0A1D3529C,'ACETAMINOPHEN-PARACETAMOL SUPPOSITORY GOK 125MG','ACETAMINOPHEN-PARACETAMOL SUPPOSITORY GOK 125MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,3321,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
691A324F-7010-4D44-BF4C-97BA9FEEE4E8,'ACETAMINOPHEN-PARACETAMOL TABS DONOR 500MG','ACETAMINOPHEN-PARACETAMOL TABS DONOR 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,3292,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
51B5039F-79A6-4B54-A871-086D76C3DABA,'ACETAMINOPHEN-SYRUP PARACETAMOL 60ML  GOK 125MG/5ML','ACETAMINOPHEN-SYRUP PARACETAMOL 60ML  GOK 125MG/5ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1596,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B614E727-8033-466F-8F19-670ED48363B2,'ACETAMINOPHEN-SYRUP PARACETAMOL 60ML LEWA 125MG/5ML','ACETAMINOPHEN-SYRUP PARACETAMOL 60ML LEWA 125MG/5ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1654,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B6EC02ED-31C2-4BCB-A453-EB3D2DC55EAE,'ACETAMINOPHEN-TABS PARACETAMOL GOK 500MG','ACETAMINOPHEN-TABS PARACETAMOL GOK 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1656,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
CEC3983F-5755-45F6-A052-BA1DCBFC47E8,'ACETAMINOPHEN-TABS PARACETAMOL LEWA 500MG','ACETAMINOPHEN-TABS PARACETAMOL LEWA 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,A3B49510-49FA-48D3-A1E1-579501EA1121,1657,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
620C2229-985D-4E15-833C-4C9BB5DFE05A,'ACETIC ACID-ACETIC ACID N/A','ACETIC ACID-ACETIC ACID N/A',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,1802,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
109163D6-BFE8-4820-9428-B6B2244C8E4E,'ACETIC ACID-VINEGAR  BOTTLE','ACETIC ACID-VINEGAR  BOTTLE',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,3310,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
FC1AD6A4-AF4C-48BD-BAD8-CA1D988C4834,'ACYCLOVIR TOPICAL-ACYCLOVIR CREAM LEWA TUBE','ACYCLOVIR TOPICAL-ACYCLOVIR CREAM LEWA TUBE',8bfde5a4-e278-4071-98dd-9d2fc24e1345,C4B30ABE-C449-4141-8435-D6E6D79F4776,2180,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
22501A59-C931-413F-B723-0E2CF5C43F4E,'ACYCLOVIR-ACYCLOVIR GOK 400MG','ACYCLOVIR-ACYCLOVIR GOK 400MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,B02D91FF-FAFA-435F-A2A3-247FAE23D5C1,2052,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
29819EF5-25E9-4E08-823D-326FFC63B2D3,'ACYCLOVIR-TABS ACYCLOVIR 200MG LEWA 200MG','ACYCLOVIR-TABS ACYCLOVIR 200MG LEWA 200MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,B02D91FF-FAFA-435F-A2A3-247FAE23D5C1,1467,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
7A81E103-C1B5-4E50-AF33-4982AA50DED1,'ADHESIVE TAPE-ADHESIVE TAPE  ','ADHESIVE TAPE-ADHESIVE TAPE  ',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,792,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
10CF0AAD-7073-4A12-BF1F-430A84211550,'ADHESIVE TAPE-AUTOCLAVING TAPES N/A','ADHESIVE TAPE-AUTOCLAVING TAPES N/A',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,1792,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
235EEA5E-4617-4E27-8D8F-1486508BD6E2,'ADHESIVE TAPE-ELASTOPLAST PIECE','ADHESIVE TAPE-ELASTOPLAST PIECE',8bfde5a4-e278-4071-98dd-9d2fc24e1345,626B2E33-4121-4CB5-AF3A-EBE18C6D3D5C,2127,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
A8542E04-B70C-40D3-867B-3CF7117419FC,'ALBENDAZOLE-ABZ GOK 400MG','ALBENDAZOLE-ABZ GOK 400MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,2023EACA-2752-4ED7-A306-C141ACC1F8C8,2132,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
F045051F-0C2E-417E-A421-1E03A5694255,'ALBENDAZOLE-ABZ LEWA 400MG','ALBENDAZOLE-ABZ LEWA 400MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,2023EACA-2752-4ED7-A306-C141ACC1F8C8,2058,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
DB1DB40E-55A4-466E-8BA6-D6143E39C953,'ALBENDAZOLE-SYR ALBENDAZOLE 20ML-LEWA 200MG/5ML','ALBENDAZOLE-SYR ALBENDAZOLE 20ML-LEWA 200MG/5ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,2023EACA-2752-4ED7-A306-C141ACC1F8C8,1705,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
5A51EBE3-50F8-46AC-89AE-898053364C55,'ALPHALIPOIC ACID/METHYLCOBALAMIN-TABS NEUROBION FORTE LEWA TABLET','ALPHALIPOIC ACID/METHYLCOBALAMIN-TABS NEUROBION FORTE LEWA TABLET',8bfde5a4-e278-4071-98dd-9d2fc24e1345,765872A6-8058-446F-BE2E-7200CE78E91C,1667,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B47B85A7-C952-41DE-99F1-8A7AE113619A,'ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-RELCER GOK SUSP','ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-RELCER GOK SUSP',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,3337,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
D478EB09-3229-488A-ACC8-B54FC34A3109,'ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-SYRUP RELCER GEL-LEWA 200MLS','ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-SYRUP RELCER GEL-LEWA 200MLS',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,1668,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
9AFFCDAE-E996-4AC6-9DA1-B89C40F573E8,'ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-TABS ANTACID LEWA TABLET','ALUMINIUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICON-TABS ANTACID LEWA TABLET',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,1599,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
6844DEC4-73C8-4DFB-9A46-C58CA5086063,'ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-ALLUGEL SUSPENSION LEWA 100ML','ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-ALLUGEL SUSPENSION LEWA 100ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,1579,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
042637AE-980E-438A-83D8-0E67C41D35A3,'ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-ANTACID GOK TABLET','ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-ANTACID GOK TABLET',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,2019,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
01FD4F45-4B7A-4789-8C4B-86B49A20447E,'ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-TABS ANTACID GOK TABLET','ALUMINUM HYDROXIDE/MAGNESIUM TRISILICATE-TABS ANTACID GOK TABLET',8bfde5a4-e278-4071-98dd-9d2fc24e1345,534A9479-26D6-445B-B8F7-A6A98E4EED6E,1598,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
6E8EFAB5-7B42-4B28-9842-9B69AE192405,'AMINOPHYLLINE-AMINOPHYLLINE INJ GOK 100MG','AMINOPHYLLINE-AMINOPHYLLINE INJ GOK 100MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,4B9A90EF-4180-486D-9886-0F1B8EB207C8,2002,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
3FF9BB4D-D9B3-4D17-902B-42A016FECB26,'AMINOPHYLLINE-AMINOPHYLLINE INJ LEWA 100MG','AMINOPHYLLINE-AMINOPHYLLINE INJ LEWA 100MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,4B9A90EF-4180-486D-9886-0F1B8EB207C8,2001,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
AC6014C4-018D-4229-9AF1-AE04301921FE,'AMINOSIDINE SULFATE-AMINOSIDINE TABS GOK 250MG','AMINOSIDINE SULFATE-AMINOSIDINE TABS GOK 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,245AD8E4-A721-436B-ADD7-E2F66FEC4B5D,2245,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
C7F9663A-78DF-47A3-A691-DE26EE51E977,'AMITRIPTYLINE HYDROCHLORIDE-TABS AMITRYPTYTINE-LEWA 25MG','AMITRIPTYLINE HYDROCHLORIDE-TABS AMITRYPTYTINE-LEWA 25MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,55209D46-99F1-4F17-AF26-137492EA41DB,1749,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
656862D5-33E9-46C6-97EF-549DA0FC7A45,'AMITRIPTYLINE HYDROCHLORIDE-TABS AMITRYPTYTINEGOK 25MG','AMITRIPTYLINE HYDROCHLORIDE-TABS AMITRYPTYTINEGOK 25MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,55209D46-99F1-4F17-AF26-137492EA41DB,1685,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
43CE2578-DCE5-4598-A154-2916AFC47D7D,'AMLODIPINE-AMLODIPINE GOK 5MG','AMLODIPINE-AMLODIPINE GOK 5MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,66A058CF-3505-45C9-8BDF-654D11D31BC7,1688,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
5064B6A9-DF35-4F8B-9F00-C2D08CEC91E6,'AMLODIPINE-AMLODIPINE-LEWA 5MG','AMLODIPINE-AMLODIPINE-LEWA 5MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,66A058CF-3505-45C9-8BDF-654D11D31BC7,1750,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
6DD74A97-4CDB-4E62-9C68-036F301DF220,'AMLODIPINE-TABS AMLOZAR-H LEWA 5MG/50MG/12.5MG','AMLODIPINE-TABS AMLOZAR-H LEWA 5MG/50MG/12.5MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,66A058CF-3505-45C9-8BDF-654D11D31BC7,1368,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
B3C6FC06-E33E-4D58-94F8-40749508262F,'AMOXICILLIN-AMOXICILLIN DISPERSIBLE  TABS GOK 250MG','AMOXICILLIN-AMOXICILLIN DISPERSIBLE  TABS GOK 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,9433,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
363D09C4-F29D-4A17-AD7D-B3193A4E69CD,'AMOXICILLIN-AMOXYL LEWA 500MG','AMOXICILLIN-AMOXYL LEWA 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2043,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
81219B47-98AC-4503-B98C-1694CB499194,'AMOXICILLIN-CAPS AMOXIL 250MG GOK 250MG','AMOXICILLIN-CAPS AMOXIL 250MG GOK 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1273,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
13E62EDF-4CC5-4F6B-93F8-F6B73AA2C0D6,'AMOXICILLIN-CAPS AMOXIL 250MG LEWA 250MG','AMOXICILLIN-CAPS AMOXIL 250MG LEWA 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1280,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
02A8DB0F-1BC1-40C5-810B-0BA97E7E90EE,'AMOXICILLIN-CAPS AMOXIL 250MG-DONOR 250MG','AMOXICILLIN-CAPS AMOXIL 250MG-DONOR 250MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1274,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
29273D0C-A03F-40E2-BED4-A5F115FB14DA,'AMOXICILLIN-CAPS AMOXIL 500MG GOK 500MG','AMOXICILLIN-CAPS AMOXIL 500MG GOK 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1276,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
7825DFCE-2DE8-4C78-A252-C4CCF73C94FC,'AMOXICILLIN-SRY AMOXIL GOK .125MG','AMOXICILLIN-SRY AMOXIL GOK .125MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1592,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
9B248692-CDB9-40F9-B5CC-AEAE154A1F4C,'AMOXICILLIN-SRY AMOXIL LEWA 125MG/5ML','AMOXICILLIN-SRY AMOXIL LEWA 125MG/5ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1649,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
2230FE14-4F48-4462-9459-98A9C9E2FE51,'AMOXICILLIN/CLAVULANATE- AUGUMENTIN 375MGS-LEWA 375MG','AMOXICILLIN/CLAVULANATE- AUGUMENTIN 375MGS-LEWA 375MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1357,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
1B6FB263-3DB9-4B93-B22A-0F27FA361AEA,'AMOXICILLIN/CLAVULANATE-AMOXICLAV DISPERSIBLE TABS GOK 228MG','AMOXICILLIN/CLAVULANATE-AMOXICLAV DISPERSIBLE TABS GOK 228MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2136,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
AAFBCFB6-A955-4225-8D16-66C596749E29,'AMOXICILLIN/CLAVULANATE-AMOXICLAV GOK 1GM','AMOXICILLIN/CLAVULANATE-AMOXICLAV GOK 1GM',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,3336,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
E47385E2-06BC-4777-89C3-FADEA4B48683,'AMOXICILLIN/CLAVULANATE-AMOXICLAV GOK TABS 375MG','AMOXICILLIN/CLAVULANATE-AMOXICLAV GOK TABS 375MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2244,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
18FC191C-6DCD-444F-8F0B-FDC148B8AF7A,'AMOXICILLIN/CLAVULANATE-AMOXICLAV SUSP GOK 312.5MG/5ML','AMOXICILLIN/CLAVULANATE-AMOXICLAV SUSP GOK 312.5MG/5ML',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2195,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
DAD2D17A-6FBE-4BF2-8D5A-E44A4B2F5932,'AMOXICILLIN/CLAVULANATE-AMOXICLAV TABS DONOR 1GM','AMOXICILLIN/CLAVULANATE-AMOXICLAV TABS DONOR 1GM',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,3311,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
AB07341C-0B89-4CC0-9D93-BFE0840A6A3C,'AMOXICILLIN/CLAVULANATE-AMOXICLAV TABS LEWA 625MG','AMOXICILLIN/CLAVULANATE-AMOXICLAV TABS LEWA 625MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2095,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
F393EC68-63CE-460A-B909-443B76D1112A,'AMOXICILLIN/CLAVULANATE-AMOXICLAV TABSGOK 625MG','AMOXICILLIN/CLAVULANATE-AMOXICLAV TABSGOK 625MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,2199,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
DB07ABFA-17B4-4EC7-928C-6A6DE6FF5666,'AMOXICILLIN/CLAVULANATE-AMOXYCILLIN/CLARULANIC ACID SUSP 228MGS-LEWA 228MG','AMOXICILLIN/CLAVULANATE-AMOXYCILLIN/CLARULANIC ACID SUSP 228MGS-LEWA 228MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1723,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
999C9CB0-71D5-44C8-9783-ACA79D48524B,'AMOXICILLIN/CLAVULANATE-AMOXYCILLIN/CLAVULANIC ACID SUSP 156MGS-LEWA 156MG','AMOXICILLIN/CLAVULANATE-AMOXYCILLIN/CLAVULANIC ACID SUSP 156MGS-LEWA 156MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1726,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
432917CD-AB59-4C53-8778-AD624C9C2493,'AMOXICILLIN/CLAVULANATE-AUGMENTIN TABS LEWA 625MG','AMOXICILLIN/CLAVULANATE-AUGMENTIN TABS LEWA 625MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,3289,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
740453CB-AD5E-4E7B-B793-10FD5FFC91CD,'AMOXICILLIN/CLAVULANATE-TABS ARGUMENTIN 375-LEWA 375MG','AMOXICILLIN/CLAVULANATE-TABS ARGUMENTIN 375-LEWA 375MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1752,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
1D92F535-2E16-412D-AC02-E4BF9AD244D5,'AMPICILLIN/CLOXACILLIN-AMPICLOX 500MG LEWA 500MG','AMPICILLIN/CLOXACILLIN-AMPICLOX 500MG LEWA 500MG',8bfde5a4-e278-4071-98dd-9d2fc24e1345,7B5CDB52-1936-44E0-AF21-696F99364558,1285,Drug,NULL,d8701763-151e-4b8f-9661-af9c044f5f81,
